draw,match,winner,sets,match up
mens_singles,1.1,Alcaraz  Cobolli,,(  1) Carlos Alcaraz  OR  (  Q) Cobolli
mens_singles,1.2,OConnell  Daniel,,(   ) Christopher O'Connell  OR  (   ) Taro Daniel
mens_singles,1.3,Arnaldi  Galan,,(   ) Matteo Arnaldi  OR  (   ) Daniel Elahi Galan
mens_singles,1.4,Nakashima  Shapovalov,,(   ) Brandon Nakashima  OR  ( 26) Denis Shapovalov
mens_singles,1.5,Musetti  Ymer_Mikael,,( 17) Lorenzo Musetti  OR  (   ) Mikael Ymer
mens_singles,1.6,Shevchenko  Otte,,(   ) Alexander Shevchenko  OR  (   ) Oscar Otte
mens_singles,1.7,Pouille  Rodionov,,(  Q) Pouille  OR  (  L) Jurij Rodionov
mens_singles,1.8,Paire  Norrie,,(  W) Benoit Paire  OR  ( 14) Cameron Norrie
mens_singles,1.9,Auger_Aliassime  Fognini,,( 10) Felix Auger-Aliassime  OR  (   ) Fabio Fognini
mens_singles,1.10,Kubler  Diaz_Acosta,,(   ) Jason Kubler  OR  (  L) Diaz Acosta
mens_singles,1.11,Ofner  Cressy,,(  Q) Sebastian Ofner  OR  (   ) Maxime Cressy
mens_singles,1.12,Mcdonald  Korda,,(   ) Mackenzie McDonald  OR  ( 24) Sebastian Korda
mens_singles,1.13,Zapata_Miralles  Schwartzman,,( 32) Bernabe Zapata Miralles  OR  (   ) Diego Schwartzman
mens_singles,1.14,Isner  Borges,,(   ) John Isner  OR  (   ) Nuno Borges
mens_singles,1.15,Carballes_Baena  Nava,,(   ) Roberto Carballes Baena  OR  (  Q) Emilio Nava
mens_singles,1.16,Vesely  Tsitsipas,,(   ) Jiri Vesely  OR  (  5) Stefanos Tsitsipas
mens_singles,1.17,Djokovic  Kovacevic,,(  3) Novak Djokovic  OR  (   ) Aleksandar Kovacevic
mens_singles,1.18,Fucsovics  Grenier,,(   ) Marton Fucsovics  OR  (  W) Hugo Grenier
mens_singles,1.19,Van_Assche  Cecchinato,,(   ) Luca Van Assche  OR  (   ) Marco Cecchinato
mens_singles,1.20,Fils  Davidovich_Fokina,,(  W) Arthur Fils  OR  ( 29) Alejandro Davidovich Fokina
mens_singles,1.21,Bautista_Agut  Wu,,( 19) Roberto Bautista Agut  OR  (   ) Yibing Wu
mens_singles,1.22,Shang  Varillas,,(  Q) Juncheng Shang  OR  (   ) Juan Pablo Varillas
mens_singles,1.23,Martinez  Griekspoor,,(  Q) Pedro Martinez  OR  (   ) Tallon Griekspoor
mens_singles,1.24,Goffin  Hurkacz,,(   ) David Goffin  OR  ( 13) Hubert Hurkacz
mens_singles,1.25,Khachanov  Lestienne,,( 11) Karen Khachanov  OR  (   ) Constant Lestienne
mens_singles,1.26,Kypson  Albot,,(  W) Patrick Kypson  OR  (  Q) Radu Albot
mens_singles,1.27,Wawrinka  Ramos_Vinolas,,(   ) Stan Wawrinka  OR  (   ) Albert Ramos-Vinolas
mens_singles,1.28,Kokkinakis  Evans,,(  W) Thanasi Kokkinakis  OR  ( 20) Daniel Evans
mens_singles,1.29,Shelton  Sonego,,( 30) Ben Shelton  OR  (   ) Lorenzo Sonego
mens_singles,1.30,Mannarino  Humbert,,(   ) Adrian Mannarino  OR  (   ) Ugo Humbert
mens_singles,1.31,Cazaux  Moutet,,(  W) Arthur Cazaux  OR  (   ) Corentin Moutet
