draw,match,winner,sets,match up
womens_singles,1.1,Swiatek  Bucsa,,(  1) Iga Swiatek  OR  (   ) Cristina Bucsa
womens_singles,1.2,In_Albon  Liu,,(  Q) Y.In-Albon  OR  (   ) Claire Liu
womens_singles,1.3,Peterson  Ferro,,(   ) Rebecca Peterson  OR  (  Q) F.Ferro
womens_singles,1.4,Wang_Xinyu  Bouzkova,,(   ) Xinyu Wang  OR  ( 31) Marie Bouzkova
womens_singles,1.5,Azarenka  Andreescu,,( 18) Victoria Azarenka  OR  (   ) Bianca Andreescu
womens_singles,1.6,Kalinskaya  Navarro,,(   ) Anna Kalinskaya  OR  (  W) Emma Navarro
womens_singles,1.7,Zhu  Davis,,(   ) Lin Zhu  OR  (   ) Lauren Davis
womens_singles,1.8,Tsurenko  Krejcikova,,(   ) Lesia Tsurenko  OR  ( 13) Barbora Krejcikova
womens_singles,1.9,Kudermetova_Veronika  Schmiedlova,,( 11) Veronika Kudermetova  OR  (   ) Anna Karolina Schmiedlova
womens_singles,1.10,Bolsova  Kucova,,(  L) Aliona Bolsova  OR  (   ) Kristina Kucova
womens_singles,1.11,Day  Mladenovic,,(  Q) K.Day  OR  (  W) Kristina Mladenovic
womens_singles,1.12,Kanepi  Keys,,(   ) Kaia Kanepi  OR  ( 20) Madison Keys
womens_singles,1.13,Kalinina  Parry,,( 25) Anhelina Kalinina  OR  (  W) Diane Parry
womens_singles,1.14,Andreeva_Mirra  Riske_Amritraj,,(  Q) Mirra Andreeva  OR  (   ) Alison Riske-Amritraj
womens_singles,1.15,Rus  Grabher,,(  Q) Arantxa Rus  OR  (   ) Julia Grabher
womens_singles,1.16,Masarova  Gauff,,(   ) Rebeka Masarova  OR  (  6) Coco Gauff
womens_singles,1.17,Rybakina  Fruhvirtova_Brenda,,(  4) Elena Rybakina  OR  (  Q) Brenda Fruhvirtova
womens_singles,1.18,Noskova  Kovinic,,(   ) Linda Noskova  OR  (   ) Danka Kovinic
womens_singles,1.19,Burel  Sorribes_Tormo,,(  W) Clara Burel  OR  (   ) Sorribes Tormo
womens_singles,1.20,Martic  Rogers,,(   ) Petra Martic  OR  ( 32) Shelby Rogers
womens_singles,1.21,Alexandrova  Tomova,,( 23) Ekaterina Alexandrova  OR  (   ) Viktoriya Tomova
